id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1343411,Close to Anywhere: Location Location Location,6904778,Strathcona,49.27634,-123.09831,Entire home/apt,98,3,37,2019-07-09,0.8,1,23
1349965,"Beautiful 1 Bedroom in Dunbar, Vancouver",7324823,Dunbar Southlands,49.24078,-123.1838,Entire home/apt,135,30,51,2018-09-03,0.7,2,335
1352691,Modern Condo in the Heart of Down Town,7341876,Downtown,49.28027,-123.1258,Entire home/apt,188,3,88,2019-05-29,1.25,3,18
1361276,Private space in heritage home in lovely area,1743089,Kensington-Cedar Cottage,49.25713,-123.07497,Entire home/apt,276,4,11,2019-05-04,0.15,3,10
1365609,AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,7336501,Downtown,49.27824,-123.12882,Entire home/apt,155,4,81,2019-06-26,1.12,1,35
1375143,100 Year Old Character Home off Main,1334665,Riley Park,49.24686,-123.0963,Entire home/apt,146,30,1,2017-12-18,0.05,2,201
1378220,QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,7465731,West Point Grey,49.25864,-123.19965,Entire home/apt,110,1,54,2019-07-05,1.47,2,246
1380472,downtown furnished one bedroom den city view,6848356,Downtown,49.28147,-123.12493,Entire home/apt,224,30,5,2019-02-01,0.07,3,229
1387803,Martine's Lodging East Village 2,2189535,Hastings-Sunrise,49.2844,-123.0538,Private room,50,30,6,2019-06-16,0.08,4,30
1392464,Private Master Bedroom  Downtown Vancouver,7526525,Downtown,49.27559,-123.12483,Private room,110,30,31,2015-03-28,0.44,2,90
1397291,Bright bedroom in shared condo,7547807,Downtown,49.27971,-123.11962,Private room,60,3,29,2019-06-12,0.63,2,306
1398788,Stunning 1 Bedroom Laneway,7554741,Arbutus Ridge,49.23757,-123.16558,Entire home/apt,75,31,82,2019-04-30,1.14,1,292
1399744,Luxury 2 BDR With Wrap Around Deck,7560143,Mount Pleasant,49.2698,-123.11051,Entire home/apt,450,30,8,2018-07-30,0.13,1,163
